"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MX86,MX31,MX96,MX74,MX58,MX45,MX106,MX25,MX12,MX72,MX37,MX23,MX10,MX52,MX116,MX2,MX17,MX78,MX41,MX66,MX63,MX1,MX71,MX87,MX13,MX53,MX7,MX15,MX70,MX67,MX62,MX36,MX114,MX118,MX77,MX100,MX14,MX44,MX26,MX95,MX75,MX34,M61,MX39,MX49,MX92,MX4,MX48,MX89,MX93,MX16,MX107,MX94,MX21,MX98,MX46,MX88,MX105,MX90,MX5,MX60,MX59,MX47,MX108,MX8,MX97,MX69,MX3,MX9,MX101,MX24,MX28,MX0,MX83,MX22,MX33,MX117,MX32,MX99,MX30,MX27,MX81,MX19,MX38,MX40,MX84,MX73,MX6,MX20,MX55,MX42,MX115,MX65,MX50,MX82,MX18,MX109,MX35,MX51,MX11,MX85,MX76,MX29,MX79,MX80,MX68,MX91,MX54,MX57";"SW_MX_1u";109;"MX_SW_solder";;;
2;"MX112,MX102,MX111,MX104,MX110,MX103,MX113";"SW_MX_1.25u";7;"MX_SW_solder";;;
3;"MX56,MX43";"SW_MX_1.5u";2;"MX_SW_solder";;;
4;"MX64";"SW_MX_1.75u";1;"MX_SW_solder";;;
5;"LED6,LED38,LED11,LED27,LED87,LED113,LED114,LED101,LED65,LED14,LED53,LED106,LED92,LED61,LED76,LED70,LED46,LED48,LED3,LED47,LED5,LED24,LED60,LED31,LED117,LED110,LED83,LED88,LED51,LED86,LED99,LED77,LED93,LED4,LED55,LED91,LED28,LED80,LED50,LED35,LED79,LED107,LED64,LED98,LED75,LED42,LED21,LED95,LED0,LED20,LED103,LED36,LED59,LED67,LED89,LED118,LED112,LED94,LED12,LED102,LED62,LED66,LED9,LED1,LED115,LED23,LED2,LED82,LED90,LED68,LED43,LED19,LED30,LED40,LED69,LED18,LED58,LED7,LED78,LED108,LED41,LED45,LED56,LED49,LED81,LED39,LED44,LED71,LED74,LED37,LED32,LED57,LED25,LED16,LED52,LED111,LED116,LED84,LED85,LED8,LED104,LED22,LED15,LED54,LED13,LED29,LED17,LED33,LED10,LED63,LED73,LED96,LED34,LED97,LED72,LED100,LED26";"SK6812-MINI-E_ROTATED";117;"MX_SK6812MINI-E";;;
6;"TCH4,SWD1,TCH3,RX1,GND_PAD1,I2C1_SCL1,TCH1,SWCLK1,TCH5,TCH2,RUN1,TX1,3V3_PAD1,I2C1_SDA1";"TestPoint_Pad_1.0x1.0mm";14;"Conn_01x01_Pin";;;
7;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
8;"C98,C12,C17,C7,C107,C95,C79,C3,C77,C99,C68,C66,C43,C96,C2,C49,C63,C46,C102,C94,C64,C73,C78,C38,C56,C81,C35,C6,C104,C23,C84,C29,C30,C100,C5,C50,C109,C42,C67,C11,C27,C82,C138,C9,C47,C54,C45,C101,C59,C62,C33,C120,C115,C10,C108,C25,C85,C112,C39,C90,C55,C26,C18,C110,C97,C88,C111,C76,C74,C114,C91,C34,C69,C24,C72,C22,C16,C71,C70,C40,C92,C139,C19,C117,C105,C75,C36,C60,C13,C48,C61,C44,C4,C20,C21,C87,C136,C93,C28,C80,C65,C118,C53,C52,C0,C116,C113,C103,C14,C121,C31,C106,C32,C58,C1,C83,C15,C8,C41,C86,C57,C89,C51,C37,C137";"C_0402_1005Metric";125;"10u";;;
9;"D39,D17,D53,D106,D93,D36,D126,D3,D11,D49,D29,D115,D25,D109,D89,D102,D16,D104,D86,D125,D9,D63,D62,D120,D35,D101,D18,D85,D24,D88,D92,D58,D81,D122,D90,D108,D20,D2,D75,D10,D5,D61,D32,D100,D37,D7,D12,D66,D33,D8,D71,D74,D94,D54,D69,D98,D57,D34,D99,D42,D0,D95,D23,D44,D79,D110,D51,D48,D47,D43,D97,D59,D112,D38,D105,D84,D1,D31,D114,D19,D22,D78,D21,D77,D15,D80,D127,D26,D50,D46,D65,D103,D124,D60,D87,D73,D64,D83,D116,D119,D13,D41,D68,D82,D96,D72,D113,D45,D28,D27,D14,D123,D76,D40,D121,D30,D111,D56,D118,D55,D4,D107,D67,D6,D117,D91,D52,D70";"D_SOD-123";128;"1N4148W";;;
10;"FID4,FID3,FID1,FID2";"Fiducial_1mm_Mask2mm";4;"Fiducial";;;
11;"C123,C131,C132,C122,C142,C126,C124,C128,C129,C130,C119,C127";"C_0402_1005Metric";12;"100n";;;
12;"R15,R17,R18,R16,R14";"C_0402_1005Metric";5;"560Ω";;;
13;"U7,U9,U6,U8,U5";"SOT-23-6";5;"AT42QT1010-TSHR";;;
14;"H7,H2,H9,H3,H10,H12,H14,H8,H5,H15,H1,H11,H6,H13,H4";"MountingHole_2.2mm_M2";15;"MountingHole";;;
15;"R10,R11";"R_0805_2012Metric";2;"500Ω";;;
16;"U10";"SOIC-8_3.9x4.9mm_P1.27mm";1;"NE555D";;;
17;"R8,R12,R9,R13";"C_0402_1005Metric";4;"10kΩ";;;
18;"R20";"C_0402_1005Metric";1;"0Ω";;;
19;"JP1,JP2";"SolderJumper-3_P1.3mm_Bridged12_Pad1.0x1.5mm";2;"SolderJumper_3_Bridged12";;;
20;"R5,R1";"C_0402_1005Metric";2;"1kΩ";;;
21;"LED105,LED109";"SK6812-MINI-E_ROTATED_NO_FRAMING";2;"MX_SK6812MINI-E";;;
22;"R19";"C_0402_1005Metric";1;"1.2kΩ";;;
23;"R4,R3";"R_0603_1608Metric";2;"27Ω";;;
24;"R6,R7";"C_0402_1005Metric";2;"5.1kΩ";;;
25;"T2,T1,T3";"JLCPCB_TOOLING_HOLE";3;"TOOLINGHOLE";;;
26;"C133,C125";"C_0402_1005Metric";2;"1u";;;
27;"Y1";"Crystal_SMD_HC49-US";1;"ABLS-12.000MHZ-B4-T";;;
28;"SW2,SW1";"RotaryEncoder_EC11_Nonplated";2;"RotaryEncoder_Switch";;;
29;"U3";"RP2040-QFN-56";1;"RP2040";;;
30;"C140";"C_0402_1005Metric";1;"47u";;;
31;"U1,U4";"SOT-223-3_TabPin2";2;"NCP1117-3.3_SOT223";;;
32;"J2";"SW_SPST_B3U-1000P-B";1;"Conn_01x02";;;
33;"C135,C134";"C_0402_1005Metric";2;"27p";;;
34;"R2";"C_0402_1005Metric";1;"DNF";;;
35;"J12";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"Conn_01x04";;;
36;"J5";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0";;;
37;"C141";"C_0402_1005Metric";1;"10n";;;
